City,Max Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Country,Date
nikolskoye,-0.72,96.0,3.34,100.0,59.7035,30.7861,RU,1643566515
upernavik,-19.45,71.0,4.29,100.0,72.7868,-56.1549,GL,1643566515
muswellbrook,17.96,92.0,1.08,46.0,-32.2667,150.9,AU,1643566516
wajima,1.28,57.0,4.42,92.0,37.4,136.9,JP,1643566516
atlantic city,-2.6,43.0,5.14,0.0,39.3643,-74.4229,US,1643566516
cidreira,24.91,57.0,7.37,7.0,-30.1811,-50.2056,BR,1643566517
hay river,-22.01,77.0,3.6,100.0,60.8156,-115.7999,CA,1643566517
carutapera,24.34,92.0,2.99,94.0,-1.195,-46.02,BR,1643566517
hobart,13.92,96.0,0.45,2.0,-42.8794,147.3294,AU,1643566349
kodiak,-4.27,68.0,6.17,20.0,57.79,-152.4072,US,1643566518
castro,18.1,98.0,2.46,100.0,-24.7911,-50.0119,BR,1643566518
leningradskiy,-22.72,93.0,0.23,100.0,69.3833,178.4167,RU,1643566519
qaanaaq,-21.94,71.0,5.11,100.0,77.484,-69.3632,GL,1643566514
mar del plata,30.01,56.0,8.49,40.0,-38.0023,-57.5575,AR,1643566519
vao,26.21,87.0,4.63,99.0,-22.6667,167.4833,NC,1643566519
mayumba,25.85,85.0,2.4,91.0,-3.432,10.6554,GA,1643566520
bakchar,-14.98,95.0,2.31,65.0,57.0186,82.0711,RU,1643566520
baft,5.05,61.0,1.6,0.0,29.234,56.6057,IR,1643566520
barentsburg,14.71,99.0,0.85,45.0,-46.1927,168.8643,NZ,1643566521
mataura,5.85,56.0,6.17,75.0,51.6869,13.2202,DE,1643566521
belushya guba,23.96,88.0,0.0,82.0,4.6374,103.4368,MY,1643566522
herzberg,27.64,77.0,9.72,64.0,3.0707,172.7902,KI,1643566515
paka,-4.97,86.0,0.0,75.0,38.5,38.0,TR,1643566522
butaritari,25.8,87.0,2.89,100.0,-16.0999,167.4164,VU,1643566523
vaitupu,27.43,71.0,4.27,42.0,10.5669,72.642,IN,1643566523
malatya,15.82,87.0,1.28,23.0,-38.6533,178.0042,NZ,1643566523
lakatoro,-13.03,66.0,4.63,98.0,60.7522,-137.5108,CA,1643566498
kavaratti,-22.39,98.0,4.36,98.0,71.9667,102.5,RU,1643566524
gisborne,27.51,77.0,6.36,57.0,5.6667,73.0,MV,1643566524
haines junction,-34.35,89.0,0.48,33.0,70.6333,147.9167,RU,1643566524
khatanga,17.64,72.0,1.75,88.0,-0.3332,37.6459,KE,1643566525
grand river south east,-20.42,88.0,2.29,4.0,65.5833,-171.0,RU,1643566525
ugoofaaru,-13.09,66.0,8.75,0.0,78.2186,15.6401,SJ,1643566525
chokurdakh,30.12,29.0,3.65,0.0,-32.8167,-56.5167,UY,1643566526
chuka,28.7,75.0,7.9,100.0,-5.6667,132.75,ID,1643566526
lavrentiya,12.06,43.0,12.86,75.0,-53.15,-70.9167,CL,1643566526
longyearbyen,17.83,78.0,8.22,3.0,-33.65,115.3333,AU,1643566527
paso de los toros,7.81,76.0,10.29,75.0,-54.8,-68.3,AR,1643566527
tual,-11.7,79.0,9.51,100.0,66.9395,-53.6735,GL,1643566527
punta arenas,22.67,71.0,7.75,40.0,-34.4187,19.2345,ZA,1643566528
busselton,20.88,93.0,1.08,88.0,-1.9005,11.906,GA,1643566528
ushuaia,17.46,56.0,5.11,39.0,-41.8697,-73.8203,CL,1643566528
sisimiut,-24.71,77.0,3.6,100.0,62.456,-114.3525,CA,1643566529
hermanus,24.03,92.0,1.56,100.0,-0.9492,100.3543,ID,1643566529
mbigou,-10.56,96.0,4.5,99.0,48.6814,71.6433,KZ,1643566529
ancud,17.78,13.0,5.53,1.0,13.6017,26.6876,SD,1643566530
yellowknife,28.97,65.0,4.63,75.0,-20.3297,-40.2925,BR,1643566472
padang,31.98,58.0,3.6,40.0,-22.9661,-42.0278,BR,1643566590
atasu,28.98,71.0,3.94,100.0,-0.7393,-90.3518,EC,1643566591
umm kaddadah,25.23,88.0,2.45,100.0,-21.5667,165.4833,NC,1643566591
vostok,27.76,69.0,3.77,100.0,-0.6,73.0833,MV,1643566592
vila velha,14.9,95.0,1.11,49.0,-46.1333,167.6833,NZ,1643566592
arraial do cabo,-23.95,99.0,1.27,95.0,50.7214,136.6319,RU,1643566592
